VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
2,2024-01-16 04:12:00,2024-01-16 04:43:00,1,9.9,3,Y,13,247,dispute,25.39,1.0,0.5,4.57,6.12,0.3,39.13,0.0,1.25
2,2024-01-29 15:57:00,2024-01-29 16:27:00,2,4.09,1,N,56,189,cash,15.27,1.0,0.5,0.0,5.5,0.3,22.57,0.0,0.0
2,2024-01-08 04:56:00,2024-01-08 05:11:00,2,5.81,1,Y,108,207,credit,16.0,2.5,0.5,0.0,6.12,0.3,27.92,2.5,0.0
2,2024-01-15 06:23:00,2024-01-15 06:37:00,4,1.74,6,Y,229,23,voided,9.26,1.0,0.5,1.67,6.12,0.3,21.35,2.5,0.0
2,2024-01-29 05:17:00,2024-01-29 05:31:00,4,3.33,4,N,1,59,unknown,12.27,2.5,0.5,0.0,6.12,0.3,24.19,2.5,0.0
2,2024-01-09 02:28:00,2024-01-09 02:42:00,4,2.52,2,Y,215,38,cash,7.91,1.0,0.5,1.42,0.0,0.3,13.63,2.5,0.0
1,2024-01-06 08:09:00,2024-01-06 08:38:00,2,16.58,2,N,76,227,voided,37.26,2.5,0.5,5.59,6.12,0.3,52.27,0.0,0.0
1,2024-01-04 01:03:00,2024-01-04 01:37:00,2,15.1,4,Y,16,104,dispute,36.83,0.0,0.5,6.63,0.0,0.3,44.26,0.0,0.0
1,2024-01-19 23:41:00,2024-01-19 23:45:00,1,10.6,6,Y,224,181,no_charge,24.25,0.0,0.5,4.85,5.5,0.3,35.4,0.0,0.0
1,2024-01-23 00:13:00,2024-01-23 00:51:00,1,12.6,2,Y,110,238,voided,29.8,2.5,0.5,0.0,0.0,0.3,35.6,2.5,0.0
2,2024-01-08 17:34:00,2024-01-08 17:44:00,4,6.89,5,Y,239,263,dispute,20.28,0.0,0.5,3.04,6.12,0.3,32.74,2.5,0.0
1,2024-01-23 06:26:00,2024-01-23 06:51:00,2,1.61,3,N,166,167,no_charge,6.56,0.5,0.5,0.98,6.12,0.3,14.96,0.0,0.0
1,2024-01-29 05:09:00,2024-01-29 05:56:00,1,4.18,2,Y,79,231,dispute,13.46,0.5,0.5,0.0,6.12,0.3,23.38,2.5,0.0
2,2024-01-23 16:46:00,2024-01-23 17:22:00,1,10.91,5,Y,68,122,unknown,25.06,2.5,0.5,0.0,5.5,0.3,36.36,2.5,0.0
2,2024-01-28 06:21:00,2024-01-28 06:38:00,4,16.59,6,N,11,106,unknown,40.09,0.0,0.5,7.22,6.12,0.3,54.23,0.0,0.0
2,2024-01-18 16:23:00,2024-01-18 16:55:00,1,17.6,3,Y,186,16,dispute,42.55,1.0,0.5,8.51,6.12,0.3,61.48,2.5,0.0
1,2024-01-10 19:01:00,2024-01-10 19:52:00,4,4.91,6,Y,251,55,voided,14.62,2.5,0.5,2.19,0.0,0.3,22.61,2.5,0.0
2,2024-01-06 09:08:00,2024-01-06 09:24:00,1,17.05,3,N,212,57,no_charge,40.9,0.0,0.5,0.0,0.0,0.3,44.2,2.5,0.0
2,2024-01-25 05:25:00,2024-01-25 06:03:00,1,2.8,6,N,21,20,unknown,10.94,2.5,0.5,0.0,0.0,0.3,14.24,0.0,0.0
1,2024-01-09 22:20:00,2024-01-09 22:35:00,1,5.13,5,Y,171,180,credit,13.73,0.0,0.5,2.75,0.0,0.3,21.03,2.5,1.25
1,2024-01-12 03:12:00,2024-01-12 03:19:00,3,5.07,3,N,49,148,dispute,15.88,1.0,0.5,0.0,5.5,0.3,25.68,2.5,0.0
1,2024-01-02 10:15:00,2024-01-02 10:20:00,2,14.58,2,Y,155,161,unknown,33.57,1.0,0.5,6.71,0.0,0.3,42.08,0.0,0.0
2,2024-01-23 23:09:00,2024-01-24 00:01:00,4,13.94,4,N,122,238,voided,30.88,2.5,0.5,4.63,6.12,0.3,47.43,2.5,0.0
1,2024-01-01 17:21:00,2024-01-01 18:15:00,1,13.03,6,Y,248,23,voided,32.85,0.0,0.5,0.0,6.12,0.3,39.77,0.0,0.0
2,2024-01-18 21:16:00,2024-01-18 21:46:00,4,9.4,4,N,21,93,no_charge,22.93,1.0,0.5,0.0,5.5,0.3,32.73,2.5,0.0
2,2024-01-15 03:03:00,2024-01-15 03:46:00,1,8.54,4,Y,138,206,dispute,19.98,0.5,0.5,4.0,0.0,0.3,27.78,2.5,0.0
2,2024-01-05 16:10:00,2024-01-05 16:55:00,2,3.28,5,N,76,190,voided,9.45,2.5,0.5,1.42,0.0,0.3,16.67,2.5,0.0
1,2024-01-23 05:39:00,2024-01-23 06:03:00,3,0.77,4,N,109,44,unknown,7.5,0.0,0.5,1.5,5.5,0.3,17.8,2.5,0.0
2,2024-01-07 00:14:00,2024-01-07 00:29:00,1,5.99,3,N,145,8,voided,17.61,2.5,0.5,0.0,0.0,0.3,23.41,2.5,0.0
2,2024-01-08 22:02:00,2024-01-08 22:33:00,1,14.82,4,Y,132,224,voided,34.14,0.0,0.5,5.12,0.0,0.3,42.56,2.5,0.0
1,2024-01-22 10:06:00,2024-01-22 10:38:00,1,7.29,5,N,244,177,cash,17.84,0.0,0.5,3.21,6.12,0.3,30.47,2.5,0.0
1,2024-01-06 06:07:00,2024-01-06 06:16:00,2,12.0,3,N,43,90,credit,28.7,0.0,0.5,0.0,5.5,0.3,37.5,2.5,0.0
2,2024-01-04 05:30:00,2024-01-04 06:15:00,2,10.31,6,Y,249,240,dispute,25.32,2.5,0.5,0.0,0.0,0.3,28.62,0.0,0.0
1,2024-01-07 15:37:00,2024-01-07 16:17:00,3,17.67,5,Y,149,218,voided,37.89,0.5,0.5,0.0,0.0,0.3,41.69,2.5,0.0
1,2024-01-09 09:54:00,2024-01-09 10:14:00,2,9.7,2,Y,200,127,no_charge,23.82,1.0,0.5,0.0,0.0,0.3,26.87,0.0,1.25
1,2024-01-29 03:06:00,2024-01-29 03:52:00,1,9.79,2,Y,135,103,dispute,22.58,0.0,0.5,3.39,0.0,0.3,29.27,2.5,0.0
1,2024-01-28 19:11:00,2024-01-28 19:36:00,2,11.57,5,N,71,157,unknown,29.23,2.5,0.5,4.38,5.5,0.3,43.66,0.0,1.25
2,2024-01-14 14:59:00,2024-01-14 15:43:00,1,3.59,1,Y,12,136,no_charge,14.51,1.0,0.5,2.61,5.5,0.3,26.92,2.5,0.0
1,2024-01-20 03:32:00,2024-01-20 03:35:00,3,17.59,6,Y,146,115,cash,42.47,2.5,0.5,6.37,0.0,0.3,54.64,2.5,0.0
2,2024-01-10 10:42:00,2024-01-10 11:27:00,3,4.01,6,Y,229,249,cash,11.84,2.5,0.5,0.0,6.12,0.3,25.01,2.5,1.25
1,2024-01-27 22:23:00,2024-01-27 23:14:00,1,7.83,3,Y,23,18,credit,21.12,0.5,0.5,4.22,0.0,0.3,29.14,2.5,0.0
1,2024-01-13 15:35:00,2024-01-13 16:21:00,2,14.01,4,N,153,168,unknown,32.45,0.0,0.5,6.49,6.12,0.3,45.86,0.0,0.0
1,2024-01-18 00:50:00,2024-01-18 01:37:00,3,5.44,5,N,138,119,unknown,15.65,0.0,0.5,0.0,5.5,0.3,21.95,0.0,0.0
1,2024-01-30 15:45:00,2024-01-30 15:52:00,4,16.34,6,Y,92,198,no_charge,35.92,2.5,0.5,6.47,0.0,0.3,48.19,2.5,0.0
1,2024-01-05 12:00:00,2024-01-05 12:27:00,1,16.59,4,N,216,104,voided,36.83,0.0,0.5,5.52,0.0,0.3,45.65,2.5,0.0
2,2024-01-10 10:17:00,2024-01-10 10:26:00,3,4.03,4,Y,68,75,cash,11.37,2.5,0.5,2.27,5.5,0.3,22.44,0.0,0.0
1,2024-01-30 18:39:00,2024-01-30 19:15:00,3,10.98,6,N,36,16,no_charge,28.84,0.5,0.5,0.0,0.0,0.3,32.64,2.5,0.0
2,2024-01-22 01:48:00,2024-01-22 02:07:00,4,12.84,4,Y,92,66,credit,29.93,2.5,0.5,4.49,5.5,0.3,44.47,0.0,1.25
2,2024-01-15 03:31:00,2024-01-15 03:36:00,4,8.33,5,N,221,160,voided,22.88,0.5,0.5,0.0,6.12,0.3,34.05,2.5,1.25
2,2024-01-29 03:10:00,2024-01-29 03:16:00,2,7.8,5,N,56,99,dispute,21.11,1.0,0.5,3.17,6.12,0.3,32.2,0.0,0.0
1,2024-01-29 07:38:00,2024-01-29 08:11:00,1,9.17,2,Y,235,115,voided,21.96,0.5,0.5,4.39,5.5,0.3,35.65,2.5,0.0
1,2024-01-05 19:46:00,2024-01-05 20:28:00,1,17.04,5,Y,22,22,credit,37.76,2.5,0.5,0.0,0.0,0.3,43.56,2.5,0.0
1,2024-01-06 02:27:00,2024-01-06 03:10:00,3,16.78,1,N,193,250,cash,37.56,0.0,0.5,5.63,0.0,0.3,43.99,0.0,0.0
2,2024-01-24 16:15:00,2024-01-24 16:37:00,1,13.27,6,Y,124,240,unknown,32.64,2.5,0.5,6.53,6.12,0.3,51.09,2.5,0.0
2,2024-01-28 03:25:00,2024-01-28 04:00:00,1,2.5,4,N,190,141,no_charge,8.09,0.5,0.5,0.0,5.5,0.3,17.39,2.5,0.0
2,2024-01-01 20:11:00,2024-01-01 21:00:00,1,9.2,2,Y,33,214,no_charge,22.57,0.0,0.5,4.06,5.5,0.3,35.43,2.5,0.0
1,2024-01-18 21:01:00,2024-01-18 21:52:00,2,1.16,4,N,67,167,dispute,6.19,1.0,0.5,0.93,6.12,0.3,17.54,2.5,0.0
2,2024-01-03 12:34:00,2024-01-03 13:19:00,1,8.72,5,N,140,172,no_charge,21.69,0.0,0.5,3.9,0.0,0.3,28.89,2.5,0.0
1,2024-01-10 15:18:00,2024-01-10 15:22:00,4,11.16,6,N,101,71,dispute,29.49,1.0,0.5,0.0,5.5,0.3,39.29,2.5,0.0
2,2024-01-25 01:11:00,2024-01-25 01:48:00,4,3.1,3,N,112,36,cash,13.2,1.0,0.5,2.64,0.0,0.3,17.64,0.0,0.0
2,2024-01-18 10:26:00,2024-01-18 10:51:00,2,6.97,2,N,224,76,unknown,17.18,0.5,0.5,2.58,0.0,0.3,23.56,2.5,0.0
2,2024-01-12 08:33:00,2024-01-12 08:44:00,1,15.71,1,N,41,173,dispute,35.92,2.5,0.5,5.39,0.0,0.3,44.61,0.0,0.0
2,2024-01-02 18:58:00,2024-01-02 19:27:00,3,8.08,3,Y,39,123,cash,21.07,0.0,0.5,3.16,5.5,0.3,30.53,0.0,0.0
2,2024-01-14 09:06:00,2024-01-14 09:31:00,1,6.83,5,N,61,218,no_charge,17.35,0.5,0.5,3.12,0.0,0.3,21.77,0.0,0.0
1,2024-01-13 21:20:00,2024-01-13 21:56:00,3,17.87,1,Y,14,226,no_charge,43.15,0.0,0.5,6.47,5.5,0.3,59.67,2.5,1.25
2,2024-01-28 10:05:00,2024-01-28 10:32:00,1,3.13,2,N,253,246,voided,9.3,0.0,0.5,1.67,5.5,0.3,19.77,2.5,0.0
1,2024-01-03 10:10:00,2024-01-03 10:37:00,3,1.2,1,Y,185,233,no_charge,9.75,1.0,0.5,1.46,6.12,0.3,21.63,2.5,0.0
1,2024-01-13 20:09:00,2024-01-13 20:55:00,3,15.81,3,N,230,82,credit,36.15,2.5,0.5,5.42,0.0,0.3,44.87,0.0,0.0
2,2024-01-19 21:08:00,2024-01-19 22:00:00,3,15.05,2,N,47,57,no_charge,35.09,2.5,0.5,5.26,0.0,0.3,43.65,0.0,0.0
1,2024-01-10 14:11:00,2024-01-10 14:20:00,3,11.23,3,N,25,219,voided,29.01,0.5,0.5,4.35,6.12,0.3,40.78,0.0,0.0
2,2024-01-05 10:21:00,2024-01-05 10:52:00,4,7.44,3,Y,230,119,dispute,18.34,0.0,0.5,3.3,0.0,0.3,24.94,2.5,0.0
2,2024-01-12 09:21:00,2024-01-12 10:02:00,1,10.32,5,N,214,34,unknown,23.55,2.5,0.5,0.0,0.0,0.3,29.35,2.5,0.0
1,2024-01-17 07:09:00,2024-01-17 07:14:00,3,2.65,5,N,255,179,cash,11.32,0.0,0.5,2.26,0.0,0.3,14.38,0.0,0.0
2,2024-01-13 07:40:00,2024-01-13 08:24:00,4,3.85,6,Y,153,75,cash,12.84,0.5,0.5,2.31,5.5,0.3,24.45,2.5,0.0
1,2024-01-16 09:33:00,2024-01-16 09:54:00,1,2.26,4,N,256,34,cash,7.71,0.0,0.5,1.16,6.12,0.3,15.79,0.0,0.0
1,2024-01-23 00:53:00,2024-01-23 01:44:00,1,17.69,4,Y,85,188,cash,37.89,1.0,0.5,6.82,6.12,0.3,55.13,2.5,0.0
1,2024-01-23 12:47:00,2024-01-23 12:51:00,2,16.53,1,N,119,248,credit,39.47,0.5,0.5,0.0,6.12,0.3,46.89,0.0,0.0
1,2024-01-21 06:32:00,2024-01-21 07:18:00,1,8.41,3,Y,37,115,voided,19.7,0.0,0.5,3.94,0.0,0.3,28.19,2.5,1.25
2,2024-01-08 04:28:00,2024-01-08 04:49:00,4,4.19,1,N,137,26,credit,12.22,1.0,0.5,2.44,5.5,0.3,21.96,0.0,0.0
2,2024-01-20 20:37:00,2024-01-20 21:26:00,4,4.94,3,N,81,160,no_charge,15.77,2.5,0.5,3.15,5.5,0.3,30.22,2.5,0.0
2,2024-01-27 20:38:00,2024-01-27 20:51:00,1,7.83,2,Y,90,27,dispute,21.6,0.5,0.5,4.32,5.5,0.3,35.22,2.5,0.0
2,2024-01-30 18:00:00,2024-01-30 18:43:00,2,12.1,5,N,146,35,credit,30.76,0.5,0.5,4.61,6.12,0.3,45.29,2.5,0.0
1,2024-01-23 08:09:00,2024-01-23 08:20:00,4,14.89,1,Y,229,110,credit,34.22,1.0,0.5,0.0,6.12,0.3,44.64,2.5,0.0
2,2024-01-27 06:11:00,2024-01-27 06:30:00,1,8.78,6,Y,44,95,cash,21.64,0.5,0.5,3.25,5.5,0.3,31.69,0.0,0.0
2,2024-01-19 09:29:00,2024-01-19 10:04:00,4,2.03,1,N,246,141,dispute,9.76,0.0,0.5,1.76,0.0,0.3,14.82,2.5,0.0
1,2024-01-26 04:12:00,2024-01-26 04:15:00,2,5.3,4,Y,95,63,dispute,14.62,0.5,0.5,2.92,5.5,0.3,24.34,0.0,0.0
2,2024-01-11 19:57:00,2024-01-11 20:27:00,2,3.41,6,N,256,208,unknown,9.41,2.5,0.5,1.69,0.0,0.3,14.4,0.0,0.0
